Sample_Index,EXG_Channel_0,EXG_Channel_1,EXG_Channel_2,EXG_Channel_3,Accel_Channel_0,Accel_Channel_1,Accel_Channel_2,Timestamp,Timestamp_(Formatted)
4.0,-357.11556696891785,-372.5538739860058,-314.39094987511635,-187.77289697527885,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.4662209, 2024-01-27 16:05:19.466
6.0,-368.8438932299614,-375.90482434630394,-311.8178987056017,-179.1561674773693,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.482602, 2024-01-27 16:05:19.482
8.0,-385.6584834307432,-373.93015716969967,-305.1159979850054,-186.2769369930029,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.5118928, 2024-01-27 16:05:19.511
10.0,-385.9576754271984,-372.853065982461,-302.961815610528,-199.08235444128513,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.5264933, 2024-01-27 16:05:19.526
12.0,-368.4250244349241,-368.0659940391779,-300.4486028403044,-191.7222313284874,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.559122, 2024-01-27 16:05:19.559
14.0,-355.6196069866419,-370.3996916115284,-307.5095339566469,-181.54970344901085,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.571832, 2024-01-27 16:05:19.571
16.0,-363.93714448809624,-370.6988836079836,-306.9709883630276,-179.03649067878723,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.5861957, 2024-01-27 16:05:19.586
18.0,-374.04983396828175,-365.79213486611843,-295.60169249773026,-181.66938024759293,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.6024733, 2024-01-27 16:05:19.602
20.0,-390.98410096764565,-374.52854116261005,-304.93648278713226,-197.9454248547554,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.6321144, 2024-01-27 16:05:19.632
22.0,-374.34902596473694,-371.7759747952223,-305.05615958571434,-188.67047296464443,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389519.6463523, 2024-01-27 16:05:19.646
24.0,-349.8751206547022,-367.1684180498123,-304.93648278713226,-178.73729868233204,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389519.6626525, 2024-01-27 16:05:19.662
26.0,-368.7242164313793,-372.49403558671474,-311.93757550418377,-178.49794508516788,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389519.6932478, 2024-01-27 16:05:19.693
28.0,-374.9474099576473,-364.11665968596935,-295.242662101984,-176.58311630785465,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389519.706286, 2024-01-27 16:05:19.706
30.0,-381.64931067824364,-365.5527812689543,-298.1747436672449,-190.10659454762936,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389519.7227936, 2024-01-27 16:05:19.722
32.0,-370.81856040656567,-366.9889028519392,-298.9526428580284,-180.77180425822735,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.7523415, 2024-01-27 16:05:19.752
34.0,-346.58400869369507,-364.0568212866783,-299.910057246685,-175.68554031848907,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.7663412, 2024-01-27 16:05:19.766
36.0,-360.2870021313429,-368.6643780320883,-303.38068440556526,-179.33568267524242,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.782632, 2024-01-27 16:05:19.782
38.0,-376.08433954417706,-365.5527812689543,-297.3370060771704,-184.78097701072693,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.811888, 2024-01-27 16:05:19.811
40.0,-390.86442416906357,-375.60563234984875,-300.86747163534164,-198.60364724695683,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.8262808, 2024-01-27 16:05:19.826
42.0,-384.2223618477583,-381.82882587611675,-314.39094987511635,-202.3136280030012,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.8428442, 2024-01-27 16:05:19.842
44.0,-367.2880948483944,-382.6665634661913,-321.09285059571266,-195.25269688665867,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.871832, 2024-01-27 16:05:19.871
46.0,-367.5872868448496,-375.0670867562294,-316.0065866559744,-189.20901855826378,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.9026177, 2024-01-27 16:05:19.902
48.0,-390.6250705718994,-381.5894722789526,-314.8098186701536,-196.74865686893463,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.9040685, 2024-01-27 16:05:19.904
50.0,-398.5237392783165,-385.23961463570595,-313.79256588220596,-202.4333048015833,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.9320695, 2024-01-27 16:05:19.932
52.0,-383.0255938619375,-380.0336738973856,-316.3656170517206,-197.82574805617332,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.9463875, 2024-01-27 16:05:19.946
54.0,-376.024501144886,-387.75282740592957,-321.0330121964216,-184.7211386114359,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.962638, 2024-01-27 16:05:19.962
56.0,-370.04066121578217,-376.9220771342516,-311.75806030631065,-179.27584427595139,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.9921956, 2024-01-27 16:05:19.992
58.0,-387.9323426038027,-374.7678947597742,-312.1170907020569,-186.81548258662224,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389520.0064127, 2024-01-27 16:05:20.006
60.0,-397.02777929604053,-378.1786835193634,-309.0653323382139,-202.3136280030012,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389520.0226471, 2024-01-27 16:05:20.022
62.0,-384.94042263925076,-380.27302749454975,-309.54403953254223,-196.56914167106152,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389520.051858, 2024-01-27 16:05:20.051
64.0,-364.9543972760439,-378.89674431085587,-315.0491722673178,-185.3793610036373,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389520.0662625, 2024-01-27 16:05:20.066
66.0,-366.3306804597378,-373.8104803711176,-313.5532122850418,-183.6440474241972,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389520.0827606, 2024-01-27 16:05:20.082
68.0,-381.82882587611675,-371.1775908023119,-308.4071099460125,-192.08126172423363,0.0960000045597553,-0.0320000015199184,0.9920000471174716,1706389520.113201, 2024-01-27 16:05:20.113
70.0,-390.08652497828007,-372.79322758316994,-300.86747163534164,-198.4241320490837,0.0960000045597553,-0.0320000015199184,1.008000047877431,1706389520.1265209, 2024-01-27 16:05:20.126
72.0,-375.00724835693836,-371.4767827987671,-305.1159979850054,-189.6877257525921,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389520.1427429, 2024-01-27 16:05:20.142
74.0,-361.48377011716366,-375.8449859470129,-308.94565553963184,-180.7119658589363,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389520.1721337, 2024-01-27 16:05:20.172
76.0,-374.9474099576473,-375.48595555126667,-311.75806030631065,-176.88230830430984,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389520.2027109, 2024-01-27 16:05:20.202
